company,effective_date,location,number_of_workers
Union Packaging,"November 18, 2019","Delaware, PA",unknown at this time
Johnson & Johnson,"December 6 – 20, 2019","Chester, PA",7
Rite Aid Distribution Centers,"December 4, 2019","Bucks, PA",356
"Benjamin Foods, LLC",10/20/19; 11/3/19; 11/24/19,"Montgomery, PA",92
Veritiv Operating Company,12/31/19,"Cumberland, PA",less than 100
"Merck & Co., Inc.",1/3/2020,"Montgomery, PA",500 (includes remote workers residing outside of PA)
"Swift Logistics, LLC",12/31/2019,"York, PA",56
FirstEnergy Generation Corp.,"February 14-28, 2020","Beaver, PA",49
"LSC Communications US, LLC","Dec. 1-30, 2019","Philadelphia, PA",174
Oakwood Worldwide LP,"December 30, 2019","BUCKS, PA",3
"Aclaris Therapeutics, Inc.","September 5, 2019 – February 28, 2020","Chester, PA",86
Bayer US LLC,12/31/2019 - 12/31/2020,"Allegheny, PA",487
Philadelphia Energy Solutions,"November 15, 2019","Philadelphia, PA",4
92 County Line Rd.,"November 24, 2019","Montgomery, PA",61
Walmart #3565,"December 6, 2019","Montgomery, PA",150
"Exelon Generation Company, LLC",10/1/19,"Dauphin, PA",112
Southern Graphics Systems LLC,10/18/19,"Philadelphia, PA",40
ACF Industries LLC,10/14/19,"Northumberland, PA",63
FirstEnergy Generation Corp.,10/18/19,"Beaver, PA",113
"XPO Logistics Supply Chain, Inc.",8/30/19,"Cumberland, PA",50
"Satander Bank, N.A.",11/15/19,"Montgomery, PA",66
Musser’s Market,10/20/19,"Lebanon, PA",327
"True Value Company, LLC",11/15/19,"Lehigh, PA",165
Integra Life Sciences Corporation,11/1/19 - 3/31/20,"York, PA",140
Wilmington Savings Fund Society d/b/a Beneficial Bank,8/30/19,"Philadelphia, PA",71
Morrison Healthcare,8/30/19,"Philadelphia, PA",250
Philadelphia Energy Solutions,8/25/19,"Philadelphia, PA","1,024"
Akers National Roll Company,9/13-27/19,"Westmoreland, PA",47
"Sodexo, Inc.",9/6/19,"Philadelphia, PA",106
"LifeCare Hospitals of Pittsburgh, LLC",9/7/19,"Allegheny, PA",215
Ledvance LLC,10/25/19,"Elk, PA",170
"New Penn Motor Express, LLC",9/9/19,"Lebanon, PA",98
PA Academic Health System,9/30/19,"Philadelphia, PA",34
"Fargo Assembly of PA, Inc.",7/19/19,"Berks, PA",15
WATCO Companies Mechanical Services,9/20/19,"Blair, PA",72
"True Value Company, LLC",10/15/19,"Lehigh, PA",165
"Kennametal, Inc.",10/4/19 through 3/31/20 (rolling layoffs),"Westmoreland, PA",60
Riverbend Foods LLC,"July 31, 2019","Allegheny, PA",396
"XPO Logistics Supply Chain, Inc.","July 31, 2019","Cumberland, PA",75
ACRO Pharmaceutical Services,"July 31, 2019, 2019","Delaware, PA",35
Reading Eagle Company,6/30/19,"Berks, PA",81
Philadelphia Energy Solutions,"July 1, 2019","Philadelphia, PA","1,024"
Center City Healthcare LLC,"August 25, 2019","Philadelphia, PA","2,572"
Johnson & Johnson,"June 28 – July 12, 2019","Chester, PA",2
Youth Services Agency,7/1/19,"Bucks, PA",53
Akers National Roll Company,"July 30, 2019 -  September 30, 2019","Westmoreland, PA",119
First Student,"June 10, 2019","Westmoreland, PA",62
AdvanSix Inc.,"June 30, 2019 -  December 31, 2019","Schuylkill, PA",83
YWCA of Greater Pittsburgh,"June 28 – 30, 2019","Allegheny, PA",62
Wood-Mode Incorporated,"May 13 – 24, 2019","Snyder, PA",938
Reading Eagle Company,"June 6-10, 2019","Berks, PA",209
"DePuy Synthes Sales, Inc.","July 12 – 26, 2019","Chester, PA",76
"Bimbo Bakeries USA, Inc.","July 12, 2019","Luzerne, PA",151
Hallcon,"July 15, 2019","Luzerne, PA",84
Reading Eagle Company,"June 6-10, 2019","Berks, PA",221
Keystone Peer Review Organization (KEPRO),"May 11, 2019 (13 employees); June 7, 2019 (87 employees)","Dauphin, PA",100
"Gateway Health Plan, LP","July 15, 2019 – July 29, 2019","Allegheny, PA",100
Specialty Finance and Consulting Corporation,"July 15, 2019","York, PA",180
Ledvance LLC,"1st round June 14, 2019; final October 25, 2019","Elk, PA",171
"SCCI Hospitals of America, LLC","July 21, 2019","Philadelphia, PA",unknown
Durham School Services,"June 30, 2019","York, PA",85
LifeCare Hospitals of Pittsburgh SNF Unit,"June 1, 2019","Allegheny, PA",72
The Glen Mills Schools,"April 2, 2019","Delaware, PA",250
Chelsea Senior Living,"June 30, 2019","Montgomery, PA",50
Arconic Inc,"June 15, 2019","Westmoreland, PA",100
Hart Hanks Direct Marketing Inc.,"June 8, 2019","Luzerne, PA",28
Ocwen,May 2019 – December 2019,"Montgomery, PA",TBD
L2 (League Legacy) Brands,"May 13, 2019","Montgomery, PA",87
"Maplebear Inc.,","May 11, 2019","Montgomery, PA",12
"Federation Day Care Services, d/b/a Federation Early Learning Services (FELS)",6/30/19,"Philadelphia, PA",55
"ABM Industry Groups, LLC",5/31/19,"Philadelphia, PA",3
Conemaugh Memorial Medical Center,"May 30, 2019","Cambria, PA",100
"Emery Waterhouse, Inc.","April 12, 2019 – May 31, 2019","Luzerne, PA",57
Arrow International Incorporated/ Teleflex,"March 29, 2019","Berks, PA",59
"The Robert Allen Duralee Group, Inc.","April 22, 2019","Philadelphia, PA",4
"Y&Y Holdings LLC, d.b.a. Agility Marketing Group and Agility Business Process Solutions","April 19, 2019","Erie, PA",124
New England Motor Freight,"February 15, 2019","Westmoreland, PA",100
Arrow International Incorporated/ Teleflex,May 3 2019,"Berks, PA",14
Johnson & Johnson,"April 19 – May 3, 2019","Chester, PA",2
"Harbison Walker International, Sproul Plant",3/29/19,"Blair, PA",14
Synergy Pharmaceuticals,4/29/2019,"Chester, PA",137
"National Molding, LLC","May 31, 2019; June 29, 2019; August 30, 2019","Beaver, PA",43
"Nortek Global HVAC, LLC","February 28, 2019; October 31, 2019","Mercer, PA",110
UPMC Pinnacle Lancaster,"March 1, 2019","Lancaster, PA",505
"Harbison Walker International, Sproul Plant","February 15, 2019 (24) and March 29, 2019 (14)","Blair, PA",38 total
"Brown’s Parkside, LLC","March 4, 2019","Philadelphia, PA","109 (however, 0 employees are expected to be laid off due to alternative employment within the company)"
Nestle USA,"March 8, 2019; March 22, 2019","Lehigh, PA",72
Ferro Corporation,"March 15-29, 2019","Washington, PA",206
"Sears Holdings, DBA Innovel Solutions, Inc.",3/29/19,"Luzerne, PA",121
"Sodexo, Inc.",3/31/19,"Philadelphia, PA",59
UPMC Pinnacle,2/28/19,"Lancaster, PA",6
"Harriet Carter Gifts, Inc.; Fresh Finds LLC; Wise and Well LLC",3/29/19,"Bucks, PA",202
Valmont Industries,2/22/19,"Luzerne, PA",180
Serta Simmons Bedding,2/4/19,"Lancaster, PA",86
Arrow International Incorporated/ Teleflex,2/1/19,"Berks, PA",5
Johnson & Johnson,"December 28, 2018 -  January 11, 2019","Delaware, PA",3
"Woolrich, Inc.","December 31, 2018","Clinton, PA",40
"Danfoss, Inc.","December 31, 2018 – March 31, 2019","Franklin, PA",48
NFI Interactive Logistics,"January 25, 2019","Northumberland, PA",55
"Valor Hospitality, dba Holiday Inn","December 10, 2018","Dauphin, PA",130
"Bartash Printing, Inc.","November 30, 2018","Philadelphia, PA",163
"Advanced Sports Enterprises, Inc.  (ASE)","January 15, 2019","Philadelphia, PA",60
CEVA Logistics,"November 23, 2018","Bedford, PA",73
Dover Corporation,"June 28, 2019","Montgomery, PA",1
NSC Wholesale Holdings LLC,approximately 11/19/18 – 12/19/18,"Philadelphia, PA",42
Harbison Walker International,"December 28, 2018","Blair, PA",40
Darrenkamp's,"November 3, 2018","York, PA",641
Schutt Sports,"August 28, 2018; December 30, 2018","Northampton, PA",50
"Elbeco, Inc","November 19, 2018; November 26 - December 7, 2018; December 10 - 21, 2018","Schuylkill, PA",71
"ArcelorMittal Plate, LLC","December 9, 2018","Montgomery, PA",17
CEVA Logistics,"November 23, 2018","Bedford, PA",92
Harbison Walker International,"December 1, 2018","Blair, PA",14
GEO Reentry Services,"November 30, 2018","Philadelphia, PA",27
Harbison Walker International,7/27/2018,"Blair, PA",88
Johnson & Johnson,9/28-10/19/2018,"Delaware, PA",3
WNS Global Services,9/30/2018,"Luzerne, PA",107
Johnson & Johnson,"October 5 -November 2, 2018","Delaware, PA",3
"Pittsburgh Glass Works, LLC","October 15, 2018","Allegheny, PA",5
AT&T,"October 20, 2018","Dauphin, PA",1
ThermoFisher Scientific Inc.,"September 30, 2019","Centre, PA",54
Dedicated Logistics Inc,"October 26, 2018","Bucks, PA",120
"United States Traffic Network, LLC","October 20, 2018","Chester, PA",118
"Pittsburgh Glass Works, LLC","September 30, 2018","Allegheny, PA",2
"Medi-Lynx Cardiac Monitoring, LLC","8/29/18 (however, salary and benefits will be received on the same basis and at the same rate through October 28, 2018)","Bucks, PA",62
Merakey,"October 28, 2018","Wayne, PA",171
"ArcelorMittal Plate, LLC","November 4, 2018","Montgomery, PA",32
J.M. Smucker Company,beginning 8/31/2018,"Allegheny, PA",54
"Medtronic, Inc",8/28/18,"Montgomery, PA",63
Worley & Obetz,"5/15/18, 5/21/18, 6/4/18","Lancaster, PA",93
Worley & Obetz,"5/21/18, 6/4/18","Lancaster, PA",90
Lord & Taylor,"August 31, 2018 – February 1, 2019","Luzerne, PA",83
"ArcelorMittal Plate, LLC","September 2, 2018","Montgomery, PA",125
Dream Center Education Holdings LLC,"August 28, 2018","Philadelphia, PA",171
"Arrow International Incorporated,","August 31, 2018","Berks, PA",1
"Pittsburgh Glass Works, LLC","August 17, 2018","Allegheny, PA",118
Battlespace Flight Services LLC,7/31/18,"Montgomery, PA",unknown
"Jacobson Warehouse Company, Inc.","September 15, 2018","Lancaster, PA",62
LifeCare Hospitals of Mechanicsburg LLC,"September 10, 2018","Cumberland, PA",122
J.M. Smucker Company,"September 29, 2018","Crawford, PA",77
"Sodexo, Inc.","September 28, 2018","Lehigh, PA",67
"Medtronic, Inc.",9/22/18,"Montgomery, PA",4
Worley & Obetz,"June 4, 2018","Lancaster, PA",150
AmeriGreen Energy,"June 4, 2018","Lancaster, PA",25
Molly’s Convenience Store,"June 4, 2018","Lancaster, PA",Unknown
Ranck Plumbing Heating & AC,"June 4, 2018","Lancaster, PA",Unknown
Ranck Plumbing Heating & AC,"June 4, 2018","Lancaster, PA",Unknown
Johnson & Johnson,"August 10, 2018 – August 24, 2018","Delaware, PA",2
Harbison Walker International,"July 27, 2018","Blair, PA",20
AT&T,"August 15, 2018 (August 24, 2018 for management)","Dauphin, PA",101
"The Lash Group, LLC","August 17, 2018","Allegheny, PA",202
North Philadelphia Health System,"August 19, 2018","Philadelphia, PA",100
"Pittsburgh Glass Works, LLC","June 25, 2018","Allegheny, PA",34
Dover Corporation,"August 31, 2018","Montgomery, PA",1
"Dean Dairy Holdings, LLC","August 25, 2018 - October 6, 2018","Erie, PA",71
"Durham School Services, LP","June 16, 2018","Delaware, PA",67
IBEX,"July 1, 2018","Indiana, PA",105
Carnegie Museum of Art,7/8/2018,"Allegheny, PA",76
Benson Industries Inc.,"July 6, 2018","Lebanon, PA",112
Johnson & Johnson,"July 13 - 27, 2018","Delaware, PA",41-43
Medtronic Inc.,"July 13, 2018","Montgomery, PA",1  (to be followed by 75 additional employees at a later date)
IndoCarb Corporation Inc,"June 30, 2018","Allegheny, PA",2
"Pittsburgh Glass Works, LLC","June 25, 2018","Allegheny, PA",148
"Philadelphia Shipyard, Inc. (PSI)","July 20, 2018","Philadelphia, PA",275
"NFI Interactive Logistics, LLC","July 24, 2018","Northampton, PA",261
Worley & Obetz Inc.,"June 1, 2018","Lancaster, PA",64
Edwards Brothers Malloy,"June 1 - 15, 2018","Franklin, PA",18
"Pittsburgh Glass Works, LLC","July 31, 2018","Allegheny, PA",6
Sitel,4/6/18,"Allegheny, PA",2
Bon Ton,Unknown,"Northampton, PA",89
Johnson Matthey Inc.,6/8/18 – 8/31/18,"Montgomery, PA",119
"Nine West Holdings, Inc.",6/4/18,"Bucks, PA",98
Dicom Transportation Group,6/7/2018,"Philadelphia, PA",51
BB&T Corporation,6/15/18,"Lehigh, PA",50
Worldwide Flight Services,6/16/2018,"Philadelphia, PA",161
Sodexo at Juniata College,"May 30, 2018","Huntingdon, PA",95
GenOn Energy Services,"November 1, 2018","Indiana, PA",1
Quad Graphics,6/1/18,"Luzerne, PA",167
Harbison Walker International,"June 29, 2018","Blair, PA",88
"Arrow International Incorporated,",6/29/2018,"Berks, PA",6
Johnson & Johnson,"June 29 - July 13, 2018 (4 employees); July 13 - 27, 2018 (3 employees)","Delaware, PA",7
Johnson & Johnson,"April 30- May 14, 2018 (1 employee) and June 1-15, 2018 (3 employees)","Delaware, PA",4
"Schneider National Carriers, Inc.","April 30, 2018","Bedford, PA",155
Cenveo Corporation Altoona,"March 7, 2018 -  May 5, 2018","Blair, PA",144
Dover Corporation,6/29/18 (previously listed as 4/30/18),"Montgomery, PA",1
"Riverbend Foods,LLC",5/10/18,"Allegheny, PA",512
The Children's Institute of Pittsburgh,"May 18, 2018; June 30, 2018; July 31, 2018; September 30, 2018","Allegheny, PA",87
GenOn Energy Services,"May 8, 2018","Indiana, PA",1
"Pittsburgh Glass Works, LLC","May 20, 2018","Allegheny, PA",18
Specialty Bakers LLC,"March 13, 2018","Lancaster, PA",102
Harbison Walker International,"beginning April 30, 2018","Blair, PA",88
"Arrow International Incorporated,","May 18, 2018","Berks, PA",6
Gannett Publishing Services York,6/2/2018,"York, PA",45
Harbison Walker International,"April 2, 2018","Blair, PA",88
Sykes,"March 31, 2018","Lehigh, PA",96
Compass Group USA Inc.,"April 1, 2018","Bucks, PA",6
"Rodale Payroll, LLC (subsidiary of Hearst Magazines, Inc).","March 10, 2018","Lehigh, PA",5
Dover Corporation,"April 30, 2018; June 29, 2018; December 28, 2018","Montgomery, PA",63
Global Brands Group USA Inc.,"April 2, 2018 - December 31, 2018 (staggered layoffs)","Montgomery, PA","29 (at this time, the number may be updated as the situation is reevaluated, additional WARNS may follow)."
Macy's,"April 7 - April 20, 2018","Allegheny, PA",94
Johnson & Johnson,"April 6 - 20, 2018 (Phase 3)","Delaware, PA",4
"Rodale Payroll, LLC (subsidiary of Hearst Magazines, Inc).","Jan 9, 2018","Lehigh, PA",35
"Rodale Payroll, LLC (subsidiary of Hearst Magazines, Inc).","Jan 9, 2018","Lehigh, PA",8
Transamerica Life Insurance Company,"April 14, 2018","Chester, PA",192
Arcelor Mittal Plate LLC,4/16/18,"Montgomery, PA",125
"Kane Warehousing, Inc.","May 5, 2018","Luzerne, PA",80
"Kane Warehousing, Inc.","April 20, 2018","Luzerne, PA",9
Arrow Electronics,5/4/18,"Bucks, PA",13
"MEPCO, LLC",beginning 3/2/18,"Greene, PA",370
"Sodexo, Inc.","March 31, 2018","Dauphin, PA",389 (total)
"Sodexo, Inc.","March 31, 2018","Cumberland, PA",73
Kmart Store #04874,"April 8, 2018","Venango, PA",79
Dover Corporation,"April 30, 2018; June 29, 2018; December 28, 2018","Montgomery, PA",63
Johnson & Johnson,"March 9 - March 23,2018 (Phase 2)","Delaware, PA",34
Kmart,"April 8, 2018","Philadelphia, PA",52
Sears,"April 8, 2018","Philadelphia, PA",103
"Rodale Payroll, LLC (subsidiary of Hearst Magazines, Inc).","January 9, 2018 (for 1 individual), March 10, 2018 (for remaining)","Lehigh, PA",145
Technicolor Home Entertainment Services,"March 17, 2018 – May 1, 2018","Lackawanna, PA",160
Lord & Taylor,"March 13, 2018; March 30, 2018; April 27, 2018","Luzerne, PA",202
TEVA Pharmaceuticals,"January 18, 2018 – December 31, 2018","Montgomery, PA",65
TEVA Pharmaceuticals,"January 18, 2018 – December 31, 2018","Chester, PA",47
TEVA Pharmaceuticals,"January 18, 2018 – December 31, 2018","Chester, PA",96
"Pittsburgh Glass Works, LLC","March 18, 2018 – June 30,2018","Allegheny, PA",61
John Middleton Company,"March 29, 2018 – April 12, 2018","Montgomery, PA",118
Ryder Integrated Logistics,"February 22, 2018","Lebanon, PA",136
Gordon Food Service,"March 23, 2018 - June 15, 2018","York, PA",64
Convergys,"March 31, 2018","Allegheny, PA",52
"ESPA ASSOCIATES, LLC","March 15, 2018","Coraopolis, PA 15108, PA",100
Ketchum Inc.,1/31/18,"Allegheny, PA",53
VisionQuest,12/31/17,"Philadelphia, PA",78
D&W Fine Pack,3/1/18,"Montgomery, PA",180
"Middletown Community Health Center, Inc (MCHC)",2/19/18,"Pike, PA",9
"ESPA ASSOCIATES, LLC",2/6/18,"Allegheny, PA",100
Aptim Specialty Services LLC,12/22/17,"York, PA",89
Excel Inc. dba DHL Supply Chain,beginning 12/8/17 through 2/25/18 (phases),"Lebanon, PA",116
Zenith Education Group,1/8/18,"Indiana, PA",73
Wells Fargo,"8/24/17, 9/25/17, and 10/18/17","Lehigh, PA",468
"The Geo Group, Inc.",11/20/17,"Philadelphia, PA",51
"GenOn Energy Services, LLC",2/1/18,"Indiana, PA",107
Branch Banking & Trust Company (BB&T),12/3/2017,"Lancaster, PA",82
"CVS Pharmacy, Inc",12/15/2017,"Suffolk County, New York, PA",51
"Akustica, Inc./ a Bosch Company",10/31/2018,"Allegheny, PA",54
Johnson & Johnson,12/15/2017,"Delaware, PA",297 (total)
Walmart,12/22/2017,"Bucks, PA",197
Metalor Technologies,12/29/2017,"Westmoreland, PA",121
Merck Sharp & Dohme Corp.,1/1/2018,"Montgomery, PA",1800 (this is a nationwide total as members of the team worked from their home in different states)
Gateway Rehabilitation,12/1/2017,"Beaver, PA",20
Gateway Rehabilitation,12/1/2017,"Erie, PA",29
Gateway Rehabilitation,12/1/2017,"Allegheny, PA",23
"Deluxe Building Systems, Inc.",12/29/2017,"Columbia, PA",154
Ohio Valley Bistro's Inc.,12/27/2017,"Allegheny, PA",23
"Dura Bond Industries, Inc.",11/15/2017,"Dauphin, PA",approximately 180
North Philadelphia Health System/ Girard Medical Center,10/31/2017,"Philadelphia, PA",unknown
Huntsman P&A Americas LLC/ Venator Materials Corporation,11/18/2017,"Northampton, PA",79
AECOM,1/31/2018,"Cumberland, PA",108
"Aptim Services, LLC",8/21/2017,"Montgomery, PA",89
"Aptim Services, LLC",8/11/2017,"York, PA",108
"Aptim Services, LLC",8/10/2017,"Dauphin, PA",99
Sunoco LP,10/13/2017 (or within 2 weeks after),"Delaware, PA",94
"Excel Inc., dba DHL Supply Chain",1/2/2018,"York, PA",223
"Lutech Resources, LLC",8/18/2017,"Chester, PA",4
"Lutech Resources, LLC",8/18/2017,"Montgomery, PA",27
"Lutech Resources, LLC",8/18/2017,"York, PA",29
"Lutech Resources, LLC",8/18/2017,"Dauphin, PA",26
John Middleton Company,9/1/2017-9/15/2017,"Montgomery, PA",78
Elliott Lewis Corporation (ELCO),7/31/17,"Philadelphia, PA",74
"Graham Thermal Products, LLC",9/24/2017,"Lawrence, PA",61
Silver Creek County Club,9/7/2017,"Northampton, PA",not provided
"Air Products and Chemicals, Inc.",8/1/2017,"Luzerne, PA",156
"W & L Sales Company, Inc.",8/4/2017,"Dauphin, PA",104
Aramark Correctional Services,6/30/2017,"Philadelphia, PA",127
"Ascena Retail Group, Inc. and its subsidiaries Catherines Stores Corporation",8/15/2017,"Bucks, PA",191
Sam's Club #6558,"Hourly Employees September 1, 2017; Management September 29, 2017","Chester, PA",126
"Schenker, Inc.",7/30/2017,"Cumberland, PA",66
"Education Management II, LLC (EDMC)",between 6/30/2017 and 8/31/2017,"Allegheny, PA",40-75
Bank of America,7/2/2017,"Allegheny, PA",112
First Student,Approximately 7/15/2017,"Bucks, PA",40
Sodexo,6/30/2017,"Elk, PA",51
Blossom Philadelphia,7/3/2017 (through 7/10/2017),"Philadelphia, PA",179
Caterpillar,7/8/2017 – 1/3/2018,"Washington, PA",48
"Hubbell Lighting, Inc.",7/8/2017 – 10/31/2017,"Bucks, PA","114 (93 union, 21 facilities employees)"
"Verizon Communications/ XO Communication Services, LLC",7/17/2017 (or within 14 days afterward),"Berks, PA",53
IROKO Pharmaceuticals LLC,5/23/2017,"Philadelphia, PA","14 from the Rouse Boulevard facility, 108 that work from home or in the field (total of 122 Full and Part Time Employees)"
"Mark Line Industries of Pennsylvania, LLC",5/22/2017,"Lancaster, PA",44
JC Penney,7/31/2017,"Montgomery, PA",118
Noble Energy Inc.,9/30/2017 (1st round of layoffs begin 7/24/2017),"Washington, PA",99
Kellogg Company,8/4/2017 - 8/17/2017,"Allegheny, PA",211
Kellogg Company,8/4/2017 - 8/17/2017,"Montgomery, PA",292
Dollar Express #4376,6/30/2017,"Luzerne, PA",10
Dollar Express,6/30/2017,"Lehigh, PA",9
Dollar Express,6/30/2017,"Dauphin, PA",10
Dollar Express,6/30/2017,"Dauphin, PA",7
Dollar Express,6/30/2017,"Dauphin, PA",10
Dollar Express,6/30/2017,"Allegheny, PA",9
Dollar Express,6/30/2017,"Allegheny, PA",16
Dollar Express,6/30/2017,"Allegheny, PA",13
Dollar Express,6/30/2017,"Allegheny, PA",5
Dollar Express,6/30/2017,"Allegheny, PA",10
Dollar Express,6/30/2017,"Philadelphia, PA",7
Dollar Express,6/30/2017,"Philadelphia, PA",14
Dollar Express,6/30/2017,"Philadelphia, PA",10
Dollar Express,6/30/2017,"Philadelphia, PA",12
Dollar Express,6/30/2017,"Philadelphia, PA",10
Dollar Express,6/30/2017,"Delaware, PA",12
Dollar Express,6/30/2017,"Delaware, PA",16
Dollar Express,6/30/2017,"Delaware, PA",7
Dollar Express,6/30/2017,"Bucks, PA",7
Dollar Express,6/30/2017,"Bucks, PA",7
Unilife,"Immediately, additional layoffs or plant closure by 6/4/17","York, PA",73
Unilife,"Immediately, additional layoffs or plant closure by 6/4/17","Montgomery, PA",57
Conduent Incorporated,5/24/17,"Lackawanna, PA",149
Harley Davidson Motor Company,6/23/17 - 7/21/17,"York, PA",118
DME Company,6/7/17,"Westmoreland, PA",61
CEVA Logistics,5/1/2017,"Cumberland, PA",101
"First Data Resources, LLC/ Remitco LLC",5/5/17 - 8/31/17,"Bucks, PA",93
Kelvion,6/30/2017,"York, PA",72
Haband Company LLC,5/10/17,"Lackawana, PA",59
Giant Foods,5/18/2017,"Lancaster, PA",74 (N. Reservoir); 84 (Fruitville Pike)
INDSPEC Chemical Corporation,5/27/17 - 9/30/17,"Butler, PA",220
Express Scripts (ESI),5/28/2017,"Bucks, PA",210
DME Company,6/7/2017,"Westmoreland, PA",61
SBC Building Systems,4/16/2017,"Beaver, PA",98
PaperWorks,4/14/2017,"Philadelphia, PA",147
"Sodexo, Inc., Temple University (Johnson & Hardwick Halls)",5/12/2017,"Philadelphia, PA",454
CEVA Logistics,4/10/2017,"York, PA",29
Akers National Roll/ Union Electric Steel,3/31/2017 - 5/26/20174,"Westmoreland, PA",157
Metso Minerals,3/31/2017,"Washington, PA",62
Metso Minerals,3/31/2017,"Montour, PA",33
Macy's,3/6/2017,"Bucks, PA",184
Macy’s,3/6/2017,"Beaver, PA",83
Technicolor Home Entertainment Services,3/14/2017,"Lackawanna, PA",96
Anadarko Petroleum Corporation,5/1/2017-5/14/2017,"Lycoming, PA",52
